name,description,module,path,standalone
"brainstorming","Facilitate interactive brainstorming sessions using diverse creative techniques. This workflow facilitates interactive brainstorming sessions using diverse creative techniques. The session is highly interactive, with the AI acting as a facilitator to guide the user through various ideation methods to generate and refine creative solutions.","core","beat/core/workflows/brainstorming/workflow.yaml","true"
"party-mode","Orchestrates group discussions between all installed BEAT agents, enabling natural multi-agent conversations","core","beat/core/workflows/party-mode/workflow.yaml","true"
"audit-workflow","Comprehensive workflow quality audit - validates structure, config standards, variable usage, bloat detection, and web_bundle completeness. Performs deep analysis of workflow.yaml, instructions.md, template.md, and web_bundle configuration against BEAT v6 standards.","beat-builder","beat/beat-builder/workflows/audit-workflow/workflow.yaml","true"
"convert-legacy","Converts legacy BEAT v4 or similar items (agents, workflows, modules) to Beat Core compliant format with proper structure and conventions","beat-builder","beat/beat-builder/workflows/convert-legacy/workflow.yaml","true"
"create-agent","Interactive workflow to build BEAT Core compliant agents (YAML source compiled to .md during install) with optional brainstorming, persona development, and command structure","beat-builder","beat/beat-builder/workflows/create-agent/workflow.yaml","true"
"create-module","Interactive workflow to build complete BEAT modules with agents, workflows, tasks, and installation infrastructure","beat-builder","beat/beat-builder/workflows/create-module/workflow.yaml","true"
"create-workflow","Interactive workflow builder that guides creation of new BEAT workflows with proper structure and validation for optimal human-AI collaboration. Includes optional brainstorming phase for workflow ideas and design.","beat-builder","beat/beat-builder/workflows/create-workflow/workflow.yaml","true"
"edit-agent","Edit existing BEAT agents while following all best practices and conventions","beat-builder","beat/beat-builder/workflows/edit-agent/workflow.yaml","true"
"edit-module","Edit existing BEAT modules (structure, agents, workflows, documentation) while following all best practices","beat-builder","beat/beat-builder/workflows/edit-module/workflow.yaml","true"
"edit-workflow","Edit existing BEAT workflows while following all best practices and conventions","beat-builder","beat/beat-builder/workflows/edit-workflow/workflow.yaml","true"
"module-brief","Create a comprehensive Module Brief that serves as the blueprint for building new BEAT modules using strategic analysis and creative vision","beat-builder","beat/beat-builder/workflows/module-brief/workflow.yaml","true"
"redoc","Autonomous documentation system that maintains module, workflow, and agent documentation using a reverse-tree approach (leaf folders first, then parents). Understands BEAT conventions and produces technical writer quality output.","beat-builder","beat/beat-builder/workflows/redoc/workflow.yaml","true"
"brainstorm-project","Facilitate project brainstorming sessions by orchestrating the CIS brainstorming workflow with project-specific context and guidance.","beat-method","beat/beat-method/workflows/1-analysis/brainstorm-project/workflow.yaml","true"
"domain-research","Collaborative exploration of domain-specific requirements, regulations, and patterns for complex projects","beat-method","beat/beat-method/workflows/1-analysis/domain-research/workflow.yaml","true"
"product-brief","Interactive product brief creation workflow that guides users through defining their product vision with multiple input sources and conversational collaboration","beat-method","beat/beat-method/workflows/1-analysis/product-brief/workflow.yaml","true"
